vocab,hanja,dict_mean
검문-하다,"[""檢 봉함 검"", ""問 물을 문""]","검사하기 위하여 따져 묻다.
"
검수-하다,"[""檢 봉함 검"", ""修 닦을 수""]","점검하여 수리하다.
"
검시-하다,"[""檢 봉함 검"", ""視 볼 시""]","「1」사실을 조사하다.
「2」시력의 좋고 나쁨을 조사하다.
「3」사람의 사망이 범죄로 인한 것인가를 판단하기 위하여 수사 기관이 변사체를 조사하다.
"
검안-하다,"[""檢 봉함 검"", ""案 책상 안""]","뒤에 남은 흔적이나 상황을 조사하고 따지다.
"
검역-하다,"[""檢 봉함 검"", ""疫 전염병 역""]","해외에서 감염병이나 해충이 들어오는 것을 막기 위하여 공항과 항구에서 총괄하여 살피고 조사하다. 자동차·배·비행기·화물 따위를 검진하고 소독하며, 승객들에게 예방 주사를 접종하거나 병이 있는 사람을 격리하고, 동물이나 식물을 따로 보관하여 병의 유무를 살핀 뒤 폐기하거나 통과시키거나 하는 일 따위를 한다.
"
검인-하다,"[""檢 봉함 검"", ""認 알 인""]","법원이 유언 증서나 유언의 녹음을 개봉하여 조사하고 확인하다. 유언 증서의 존재를 분명하게 하고 위조나 변조를 방지하기 위한 것이다.
"
검정,"[""檢 봉함 검"", ""定 정할 정""]","「1」일정한 규정에 따라 자격이나 조건을 검사하여 결정함.
「2」어떤 자격에 필요한 지식, 학력, 기술 따위가 있는지 검정하기 위하여 실시하는 시험.
"
검증-하다,"[""檢 봉함 검"", ""證 증거 증""]","「1」검사하여 증명하다.
「2」법관이나 수사관이 자기의 감각으로 어떤 대상의 성질이나 상태 따위를 인식하여 증거를 조사하다.
「3」어떤 명제의 참, 거짓을 사실에 비추어 검사하다.
"
고충,"[""苦 쓸 고"", ""衷 속마음 충""]","괴로운 심정이나 사정.
"
고취-하다,"[""鼓 북 고"", ""吹 불 취""]","[1]북을 치고 춤을 추다.
[2]「1」힘을 내도록 격려하여 용기를 북돋우다.
[2]「2」의견이나 사상 따위를 열렬히 주장하여 불어넣다.
"
고평가-하다,"[""高 높을 고"", ""評 평할 평"", ""價 값 가""]","어떤 대상의 가치나 수준 따위를 상대적으로 높게 평가하다.
"
고풍,"[""古 옛 고"", ""風 바람 풍""]","「1」옛날의 풍속.
「2」예스러운 풍취나 모습.
「3」한시 문체의 하나. 소고풍과 대고풍의 구별이 있다.
"
고해-하다,"[""告 고할 고"", ""解 풀 해""]","세례받은 신자가 지은 죄를 뉘우치고 신부를 통하여 하느님에게 고백하여 용서받다.
"
고행-길,"[""苦 쓸 고"", ""行 다닐 행""]","「1」수행자가 수행을 위하여 몸으로 견디기 어려운 일을 행하는 과정.
「2」몸으로 견디기 힘들 정도로 험난하고 어려운 상황이나 과정을 비유적으로 이르는 말.
"
고향-집,"[""故 연고 고"", ""鄕 시골 향""]","자신이 살았거나 부모님이나 가까운 친척이 살고 있는, 고향에 있는 집.
"
곡경,"[""曲 굽을 곡"", ""徑 지름길 경""]","「1」꼬불꼬불한 길.
「2」개인의 이익을 위하여 취하는 바르지 못한 방법.
"
곡기,"[""穀 곡식 곡"", ""氣 기운 기""]","곡식으로 만든 적은 분량의 음식.
"
곡명,"[""曲 굽을 곡"", ""名 이름 명""]","악곡의 이름.
"
곡물,"[""穀 곡식 곡"", ""物 물건 물""]","사람의 식량이 되는 쌀, 보리, 콩, 조, 기장, 수수, 밀, 옥수수 따위를 통틀어 이르는 말.
"
곡식,"[""穀 곡식 곡"", ""食 밥 식""]","사람의 식량이 되는 쌀, 보리, 콩, 조, 기장, 수수, 밀, 옥수수 따위를 통틀어 이르는 말.
"
곡예,"[""曲 굽을 곡"", ""藝 재주 예""]","「1」줄타기, 마술, 재주넘기, 공 타기 따위의 묘기를 부리는 일.
「2」아슬아슬할 정도로 위태로운 동작이나 상태.
"
곡해-하다,"[""曲 굽을 곡"", ""解 풀 해""]","「1」사실을 옳지 아니하게 해석하다.
「2」남의 말이나 행동을 본뜻과는 달리 좋지 아니하게 이해하다.
"
곤궁-스럽다,"[""困 괴로울 곤"", ""窮 다할 궁""]","가난하여 살림이 구차한 데가 있다.
"
곤욕,"[""困 괴로울 곤"", ""辱 욕될 욕""]","심한 모욕. 또는 참기 힘든 일.
"
곤장,"[""棍 몽둥이 곤"", ""杖 지팡이 장""]","예전에, 죄인의 볼기를 치던 형구. 또는 그 형벌. 버드나무로 넓적하고 길게 만들었다.
"
곤혹,"[""困 괴로울 곤"", ""惑 미혹할 혹""]","곤란한 일을 당하여 어찌할 바를 모름.
"
골격,"[""骨 뼈 골"", ""格 격식 격""]","「1」동물의 체형(體型)을 이루고 몸을 지탱하는 뼈.
「2」어떤 사물이나 일에서 계획의 기본이 되는 틀이나 줄거리.
"
골다공-증,"[""骨 뼈 골"", ""多 많을 다"", ""孔 구멍 공"", ""症 증세 증""]","뼈의 무기질과 단백질이 줄어들어 뼈조직이 엉성해지는 증상.
"
골동-품,"[""骨 뼈 골"", ""董 바를 동"", ""品 물건 품""]","「1」오래되었거나 희귀한 옛 물품.
「2」시대감각을 잃은 무딘 사람이나 그런 물건을 비유적으로 이르는 말.
"
골수,"[""骨 뼈 골"", ""髓 뼛골 수""]","「1」뼈의 중심부인 골수 공간(骨髓空間)에 가득 차 있는 결체질(結締質)의 물질. 적색수(赤色髓)와 황색수(黃色髓)가 있는데, 적색수는 적혈구와 백혈구를 만들고, 황색수는 양분의 저장을 맡는다.
「2」마음속 깊은 곳을 비유적으로 이르는 말.
「3」요점이나 골자를 비유적으로 이르는 말.
「4」어떤 사상이나 종교, 또는 어떤 일에 철저하거나 골몰한 사람을 비유적으로 이르는 말.
"
골절-되다,"[""骨 뼈 골"", ""折 꺾을 절""]","뼈가 부러지다.
"
공고화-하다,"[""鞏 굳을 공"", ""固 굳을 고"", ""化 될 화""]","굳고 단단하게 하다.
"
공공-건물,"[""公 공평할 공"", ""共 함께 공"", ""建 세울 건"", ""物 만물 물""]","공공의 용도로 쓰는 건물. 학교, 도립 병원, 도서관 따위를 이른다.
"
공공연-하다,"[""公 공평할 공"", ""公 공평할 공"", ""然 그러할 연""]","「1」숨김이나 거리낌이 없이 그대로 드러나 있다.
「2」지극히 공변되고 떳떳하다.
"
공공-재,"[""公 공평할 공"", ""共 함께 공"", ""財 재물 재""]","공중(公衆)이 공동으로 사용하는 물건이나 시설. 도로, 항만, 교량, 공원 따위를 이른다.
"
공과-금,"[""公 공평할 공"", ""課 과정 과"", ""金 쇠 금""]","국가나 공공 단체가 국민에게 부과하는 금전적인 부담. 각종 세금을 비롯하여 전기료, 수도료 따위가 포함된다.
"
공교-롭다,"[""工 장인 공"", ""巧 공교할 교""]","생각지 않았거나 뜻하지 않았던 사실이나 사건과 우연히 마주치게 된 것이 기이하다고 할 만하다.
"
공권-력,"[""公 공평할 공"", ""權 권세 권"", ""力 힘 력""]","국가나 공공 단체가 우월한 의사의 주체로서 국민에게 명령하고 강제할 수 있는 권력.
"
권고-하다,"[""勸 권할 권"", ""告 고할 고""]","어떤 일을 하도록 권하다.
"
귀향,"[""歸 돌아갈 귀"", ""鄕 시골 향""]","고향으로 돌아가거나 돌아옴.
"
규명-하다,"[""糾 얽힐 규"", ""明 밝을 명""]","어떤 사실을 자세히 따져서 바로 밝히다.
"
극기,"[""克 이길 극"", ""己 몸 기""]","자기의 감정이나 욕심, 충동 따위를 이성적 의지로 눌러 이김.
"
극빈-층,"[""極 지극할 극"", ""貧 가난할 빈"", ""層 층 층""]","몹시 가난한 계층.
"
극성-스럽다,"[""極 지극할 극"", ""盛 성할 성""]","성질이나 행동이 몹시 드세거나 지나치게 적극적인 데가 있다.
"
극-소량,"[""極 지극할 극"", ""少 적을 소"", ""量 헤아릴 량""]","아주 적은 분량.
"
극양-하다,"[""克 이길 극"", ""讓 사양할 양""]","남을 공경하고 겸손한 태도로 사양하다.
"
극예-하다,"[""極 지극할 극"", ""銳 날카로울 예""]","몹시 날카롭다.
"
근시-안,"[""近 가까울 근"", ""視 볼 시"", ""眼 눈 안""]","「1」시력이 약하여 가까운 데 있는 것은 잘 보아도 먼 데 있는 것은 잘 보지 못하는 눈. 굴절성과 축성(軸性)의 두 종류가 있다.
「2」눈앞의 일에만 사로잡혀 먼 앞날의 일을 짐작하는 지혜가 없음을 비유적으로 이르는 말.
"
근엄-하다,"[""謹 삼갈 근"", ""嚴 엄할 엄""]","점잖고 엄숙하다.
"
기립-성,"[""起 일어날 기"", ""立 설 립"", ""性 성품 성""]","앉거나 누웠다가 일어설 때 증상을 나타내는 병의 성질.
"
기마-병,"[""騎 말탈 기"", ""馬 말 마"", ""兵 병사 병""]","「1」말을 타고 싸우는 병사.
「2」조선 시대에, 말을 타고 싸우던 군대. 용호영, 훈련도감, 금위영, 어영청에 속한 금군, 마병, 기사 따위가 있다.
"
길항,"[""拮 일할 길"", ""抗 겨룰 항""]","서로 버티어 대항함.
"
길흉,"[""吉 길할 길"", ""凶 흉할 흉""]","운이 좋고 나쁨.
"
낙강-하다,"[""落 떨어질 락"", ""降 내릴 강""]","「1」떨어져 내려오다.
「2」신이 하늘에서 인간 세상으로 내려오다.
"
낙과-하다,"[""落 떨어질 락"", ""果 열매 과""]","열매가 나무에서 떨어지다.
"
낙관,"[""樂 즐길 락"", ""觀 볼 관""]","「1」인생이나 사물을 밝고 희망적인 것으로 봄.
「2」앞으로의 일 따위가 잘되어 갈 것으로 여김.
"
낙관론-자,"[""樂 즐길 락"", ""觀 볼 관"", ""論 논할 론"", ""者 놈 자""]","낙관론을 따르거나 주장하는 사람.
"
낙오-되다,"[""落 떨어질 락"", ""伍 대오 오""]","「1」대오에서 처져 뒤떨어지게 되다.
「2」사회나 시대의 진보에 뒤떨어지게 되다.
"
낙점,"[""落 떨어질 락"", ""點 점점""]","「1」여러 후보가 있을 때 그중에 마땅한 대상을 고름.
「2」조선 시대에, 이품 이상의 벼슬아치를 뽑을 때 임금이 이조에서 추천된 세 후보자 가운데 마땅한 사람의 이름 위에 점을 찍던 일.
"
난독-하다,"[""亂 어지러울 란"", ""讀 읽을 독""]","책의 내용이나 수준 따위를 가리지 아니하고 아무 책이나 닥치는 대로 마구 읽다.
"
남작-하다,"[""濫 넘칠 람"", ""作 지을 작""]","글이나 시 따위를 함부로 많이 지어 내다.
"
남행-길,"[""南 남녘 남"", ""行 다닐 행""]","남쪽 방향으로 가는 길.
"
낭자-하다,"[""狼 이리 랑"", ""藉 깔 자""]","「1」여기저기 흩어져 어지럽다.
「2」왁자지껄하고 시끄럽다.
"
내각^회의,"[""內 안 내"", ""閣 집 각"", ""會 모일 회"", ""議 의논할 의""]","내각이 그 직무를 수행하기 위하여 개최하는 회의.
"
내공,"[""內 안 내"", ""功 공 공""]","「1」오랜 기간 무예 따위를 숙련해서 다져진 힘과 기운.
「2」오랜 기간의 경험을 통해 쌓은 능력.
"
내담,"[""內 안 내"", ""談 말씀 담""]","비밀로 이야기함. 또는 그런 이야기.
"
내분,"[""內 안 내"", ""紛 어지러울 분""]","특정 조직이나 단체의 내부에서 자기편끼리 일으킨 분쟁.
"
내성,"[""耐 견딜 내"", ""性 성품 성""]","「1」약물의 반복 복용에 의해 약효가 저하하는 현상.
「2」세균 따위의 병원체(病原體)가 화학 요법제(化學療法濟)나 항생 물질의 계속 사용에 대하여 나타내는 저항성.
「3」환경 조건의 변화에 견딜 수 있는 생물의 성질. 내열성(耐熱性), 내한성(耐寒性) 따위가 있다.
"
냉혹-하다,"[""冷 찰 랭"", ""酷 심할 혹""]","차갑고 혹독하다.
"
노고-하다,"[""勞 일할 로"", ""苦 쓸 고""]","힘들여 수고하고 애쓰다.
"
노사,"[""勞 일할 로"", ""使 하여금 사""]","노동자와 사용자를 아울러 이르는 말.
"
노상,"[""路 길 로"", ""上 윗 상""]","「1」길의 바닥 표면.
「2」길거리나 길의 위.
"
노조,"[""勞 일할 로"", ""組 짤 조""]","노동 조건의 개선(改善) 및 노동자의 사회적·경제적인 지위 향상을 목적으로 노동자가 조직한 단체. 기업별, 산업별, 지역별 따위의 다양한 형태가 있다.
"
노후,"[""老 늙을 로"", ""朽 썩을 후""]","제구실을 하지 못할 정도로 낡고 오래됨.
"
녹말,"[""綠 푸를 록"", ""末 끝 말""]","「1」감자, 고구마, 물에 불린 녹두 따위를 갈아서 가라앉힌 앙금을 말린 가루.
「2」녹색식물의 엽록체 안에서 광합성으로 만들어져 뿌리, 줄기, 씨앗 따위에 저장되는 탄수화물. 맛도 냄새도 없는 백색 분말로, 포도당을 구성단위로 하는 다당류(多糖類)이고, 찬물에는 녹지 않는다. 인간과 동물에게 열량원(熱量源)으로 없어서는 안 될 영양소이다.
"
녹지-대,"[""綠 푸를 록"", ""地 땅 지"", ""帶 띠 대""]","자연환경을 보전하거나 공해를 방지하기 위하여 도시의 안이나 그 주변에 일부러 조성한 녹지.
"
농가,"[""農 농사 농"", ""家 집 가""]","농사를 본업으로 하는 사람의 집. 또는 그런 가정.
"
늑막-염,"[""肋 갈비 륵"", ""膜 막막"", ""炎 불꽃 염""]","‘가슴막염’의 전 용어.
"
늠름-하다,"[""凜 찰 름"", ""凜 찰 름""]","생김새나 태도가 의젓하고 당당하다.
"
능동,"[""能 능할 능"", ""動 움직일 동""]","「1」스스로 내켜서 움직이거나 작용함.
「2」의식의 상태가 어떤 내적 성질에 토대를 두고 다른 상태로 발전하려는 작용.
「3」주체가 자발적으로 움직이는 동사의 성질.
"
능숙-하다,"[""能 능할 능"", ""熟 익을 숙""]","능하고 익숙하다.
"
다각-화,"[""多 많을 다"", ""角 뿔 각"", ""化 될 화""]","여러 방면이나 부문에 걸치도록 함.
"
다다-익선,"[""多 많을 다"", ""多 많을 다"", ""益 더할 익"", ""善 착할 선""]","많으면 많을수록 더욱 좋음. 중국 한(漢)나라의 장수 한신이 고조(高祖)와 장수의 역량에 대하여 얘기할 때, 고조는 10만 정도의 병사를 지휘할 수 있는 그릇이지만, 자신은 병사의 수가 많을수록 잘 지휘할 수 있다고 한 말에서 유래한다.
"
다독-하다,"[""多 많을 다"", ""讀 읽을 독""]","많이 읽다.
"
다문화^가정,"[""多 많을 다"", ""文化 문화 화"", ""家 집 가"", ""庭 뜰 정""]","국적과 문화적 배경이 서로 다른 사람들로 이루어진 가정.
"
대용-하다,"[""代 대신할 대"", ""用 쓸 용""]","대신하여 다른 것을 쓰다.
"
대응-되다,"[""對 대할 대"", ""應 응할 응""]","「1」어떤 두 대상이 주어진 어떤 관계에 의하여 서로 짝이 이루어지다.
「2」두 집합이 있을 때에 어떤 주어진 관계에 의하여서 두 집합의 원소끼리 짝이 이루어지다.
"
대-작전,"[""大 큰 대"", ""作 지을 작"", ""戰 싸움 전""]","큰 작전.
"
대항-하다,"[""對 대할 대"", ""抗 겨룰 항""]","굽히거나 지지 않으려고 맞서서 버티거나 항거하다.
"
덕망,"[""德 큰 덕"", ""望 바랄 망""]","덕행으로 얻은 명망.
"
덕목,"[""德 큰 덕"", ""目 눈 목""]","충(忠), 효(孝), 인(仁), 의(義) 따위의 덕을 분류하는 명목.
"
도감,"[""圖 그림 도"", ""鑑 거울 감""]","그림이나 사진을 모아 실물 대신 볼 수 있도록 엮은 책.
"
도굴,"[""盜 도둑 도"", ""掘 팔 굴""]","법적 수속이나 관리자의 승낙을 받지 않고 고분 따위를 파거나 광물을 캐냄.
"
도달-점,"[""到 이를 도"", ""達 통달할 달"", ""點 점찍을 점""]","다다른 지점. 또는 최후에 다다른 결과.
"
도달-하다,"[""到 이를 도"", ""達 통달할 달""]","목적한 곳이나 수준에 다다르다.
"
도래,"[""到 이를 도"", ""來 올 래""]","어떤 시기나 기회가 닥쳐옴.
"
도료,"[""塗 진흙 도"", ""料 헤아릴 료""]","물건의 겉에 칠하여 그것을 썩지 않게 하거나 외관상 아름답게 하는 재료. 바니시, 페인트, 옻칠 따위가 있다.
"
도리,"[""道 길 도"", ""理 다스릴 리""]","「1」사람이 어떤 입장에서 마땅히 행하여야 할 바른길.
「2」어떤 일을 해 나갈 방도(方道).
"
도망-하다,"[""逃 달아날 도"", ""亡 망할 망""]","피하거나 쫓기어 달아나다.
"
도배-하다,"[""塗 진흙 도"", ""褙 북도 배""]","「1」종이로 벽이나 반자, 장지 따위를 바르다.
「2」(비유적으로) 어떤 장소 따위를 특정 사물이나 게시물로 가득 채우다.
「3」인터넷 따위의 가상 공간에서 자신의 의견을 피력하거나 불만을 표출하기 위해, 혹은 관심을 드러내기 위해 글, 사진 등을 반복적으로 게시하다.
"
도식화-하다,"[""圖 그림 도"", ""式 법 식"", ""化 될 화""]","「1」사물의 구조, 관계, 변화 상태 따위를 그림이나 양식으로 만들다.
「2」사물의 본질이나 특성이 구체적으로 밝혀지기 위한 인간의 창조적 태도 없이, 일정한 형식이나 틀에 기계적으로 맞춰지다. 또는 그렇게 만들다.
"
도약-하다,"[""跳 뛸 도"", ""躍 뛸 약""]","「1」몸을 위로 솟구치다.
「2」(비유적으로) 더 높은 단계로 발전하다.
"
동성-동본,"[""同 한가지 동"", ""姓 성 성"", ""同 한가지 동"", ""本 근본 본""]","성(姓)과 본관이 모두 같음.
"
득남,"[""得 얻을 득"", ""男 사내 남""]","아들을 낳음.
"
득도-하다,"[""得 얻을 득"", ""道 길 도""]","오묘한 이치나 도를 깨닫다.
"
득명-하다,"[""得 얻을 득"", ""名 이름 명""]","이름이 널리 알려지다.
"
득의양양-하다,"[""得 얻을 득"", ""意 뜻 의"", ""揚 날릴 양"", ""揚 날릴 양""]","뜻한 바를 이루어 우쭐거리며 뽐내다.
"
등가^교환,"[""等 같을 등"", ""價 값 가"", ""交 사귈 교"", ""換 바꿀 환""]","가치가 서로 같은 상품과 상품, 또는 상품과 화폐가 교환되는 일.
"
망신,"[""亡 망할 망"", ""身 몸 신""]","말이나 행동을 잘못하여 자기의 지위, 명예, 체면 따위를 손상함.
"
망연자실-하다,"[""茫 아득할 망"", ""然 그럴 연"", ""自 스스로 자"", ""失 잃을 실""]","멍하니 정신을 잃다.
"
매관-매직,"[""賣 팔 매"", ""官 벼슬 관"", ""賣 팔 매"", ""職 직분 직""]","돈이나 재물을 받고 벼슬을 시킴.
"
매국-노,"[""賣 팔 매"", ""國 나라 국"", ""奴 종 노""]","사사로운 이익을 위하여 나라의 주권이나 이권을 남의 나라에 팔아먹는 행위를 하는 사람.
"
매료-되다,"[""魅 매혹할 매"", ""了 마칠 료""]","사람의 마음이 완전히 사로잡혀 홀리게 되다.
"
매매-하다,"[""賣 팔 매"", ""買 살 매""]","물건을 팔고 사다.
"
매입-하다,"[""買 살 매"", ""入 들 입""]","물건 따위를 사들이다.
"
매진-되다,"[""賣 팔 매"", ""盡 다할 진""]","하나도 남지 아니하고 모두 다 팔려 동이 나다.
"
맥박,"[""脈 줄기 맥"", ""搏 칠 박""]","심장의 박동으로 심장에서 나오는 피가 얇은 피부에 분포되어 있는 동맥의 벽에 닿아서 생기는 주기적인 파동. 맥박의 빠르기나 강하고 약함 따위로 심장의 상태를 알 수 있다.
"
맹랑-하다,"[""孟 맏 맹"", ""浪 물결 랑""]","「1」생각하던 바와 달리 허망하다.
「2」하는 짓이 만만히 볼 수 없을 만큼 똘똘하고 깜찍하다.
「3」처리하기가 매우 어렵고 묘하다.
"
면박,"[""面 낯 면"", ""駁 논박할 박""]","면전에서 꾸짖거나 나무람.
"
면상,"[""面 낯 면"", ""上 윗 상""]","얼굴의 위. 또는 얼굴.
"
면세,"[""免 면할 면"", ""稅 세금 세""]","세금을 면제함.
"
면역-력,"[""免 면할 면"", ""疫 전염병 역"", ""力 힘 력""]","외부에서 들어온 병원균에 저항하는 힘.
"
명랑-하다,"[""明 밝을 명"", ""朗 밝을 랑""]","「1」흐린 데 없이 밝고 환하다.
「2」유쾌하고 활발하다.
"
명백-하다,"[""明 밝을 명"", ""白 흰 백""]","의심할 바 없이 아주 뚜렷하다.
"
명성,"[""名 이름 명"", ""聲 소리 성""]","세상에 널리 퍼져 평판 높은 이름.
"
명-승부,"[""名 이름 명"", ""勝 이길 승"", ""負 질 부""]","경기나 경쟁 등에서 이기고 지는 것이 멋지게 이루어지는 일.
"
명세-서,"[""明 밝을 명"", ""細 가늘 세"", ""書 글 서""]","물품이나 금액 따위의 내용을 분명하고 자세하게 적은 문서.
"
명시,"[""明 밝을 명"", ""示 보일 시""]","분명하게 드러내 보임.
"
명예^훼손,"[""名 이름 명"", ""譽 기릴 예"", ""毁 헐 훼"", ""損 덜 손""]","공공연하게 다른 사람의 사회적 평가를 떨어뜨리는 사실 또는 허위 사실을 지적하는 일.
"
명일,"[""明 밝을 명"", ""日 날 일""]","오늘의 바로 다음 날.
"
명장,"[""名 이름 명"", ""匠 장인 장""]","기술이 뛰어나 이름난 장인.
"
모성-애,"[""母 어미 모"", ""性 성품 성"", ""愛 사랑 애""]","자식에 대한 어머니의 본능적인 사랑.
"
모순-성,"[""矛 창 모"", ""盾 방패 순"", ""性 성품 성""]","서로 어긋나는 성질이나 상태.
"
모호-하다,"[""模 법 모"", ""糊 풀칠할 호""]","말이나 태도가 흐리터분하여 분명하지 않다.
"
목격-하다,"[""目 눈 목"", ""擊 부딪칠 격""]","눈으로 직접 보다.
"
목간,"[""木 나무 목"", ""竿 장대 간""]","물건을 받치거나 버티는 데 쓰는 굵고 긴 나무.
"
몰-상식,"[""沒 빠질 몰"", ""常 항상 상"", ""識 알 식""]","상식이 전혀 없음.
"
몰수-되다,"[""沒 빠질 몰"", ""收 거둘 수""]","「1」형법에서, 범죄 행위에 제공된 물건이나 범죄 행위의 결과로 얻어진 물건 따위가 국가에 강제로 빼앗겨지다. 징역이나 금고 따위의 형벌에 부가되는 재산형 형벌의 하나로 행해진다.
「2」국제법에서, 적국(敵國) 소유의 재산이 정당한 보상 없이 박탈되다.
「3」법이 금하는 물건이나 범죄로 얻게 된 물건이 관아로 모두 거두어들여지다.
"
몰-이해,"[""沒 빠질 몰"", ""理 다스릴 리"", ""解 풀 해""]","이해함이 전혀 없음.
"
몰인정-하다,"[""沒 빠질 몰"", ""人 사람 인"", ""情 뜻 정""]","인정이 전혀 없다.
"
몰지각-하다,"[""沒 빠질 몰"", ""知 알 지"", ""覺 깨달을 각""]","지각이 전혀 없다.
"
몽매-주의,"[""蒙 어두울 몽"", ""昧 새벽 매"", ""主 주인 주"", ""義 옳을 의""]","배우거나 깨치려는 생각을 아예 포기하려는 사고방식이나 태도.
"
묘기,"[""妙 묘할 묘"", ""技 재주 기""]","교묘한 기술과 재주.
"
무고-하다,"[""無 없을 무"", ""辜 허물고""]","아무런 잘못이나 허물이 없다.
"
미식-가,"[""美 아름다울 미"", ""食 먹을 식"", ""家 집 가""]","음식에 대하여 특별한 기호를 가진 사람. 또는 좋은 음식을 찾아 먹는 것을 즐기는 사람.
"
미풍,"[""微 작을 미"", ""風 바람 풍""]","약하게 부는 바람.
"
민속^문화유산,"[""民 백성 민"", ""俗 풍속 속"", ""文化 문화 화"", ""遺 끼칠 유"", ""産 낳을 산""]","생활상의 변화를 이해하는 데 꼭 필요한, 풍속이나 관습에 사용되는 의복, 기구, 가옥 따위의 문화유산.
"
박해-하다,"[""迫 닥칠 박"", ""害 해칠 해""]","못살게 굴어서 해롭게 하다.
"
방독-면,"[""防 막을 방"", ""毒 독 독"", ""面 낯 면""]","독가스, 세균, 방사성 물질 따위가 시각·청각·호흡 기관에 피해를 주지 못하도록 얼굴을 보호하는 기구. 유독 물질을 걸러 내고 숨을 쉴 수 있도록 되어 있다.
"
방방곡곡,"[""坊 동네 방"", ""曲 굽을 곡""]","한 군데도 빠짐이 없는 모든 곳.
"
방부-제,"[""防 막을 방"", ""腐 썩을 부"", ""劑 약 지을 제""]","미생물의 활동을 막아 물건이 썩지 않게 하는 약. 살리실산, 포르말린, 나프탈렌, 소금, 알코올 따위가 있다.
"
방사-능,"[""放 놓을 방"", ""射 쏠 사"", ""能 능할 능""]","라듐, 우라늄, 토륨 따위 원소의 원자핵이 붕괴하면서 방사선을 방출하는 일. 또는 그런 성질. 천연적으로 존재하는 것을 천연 방사능, 인공적으로 만들어진 것을 인공 방사능이라고 한다.
"
번뇌,"[""煩 괴로워할 번"", ""惱 괴로워할 뇌""]","「1」마음이 시달려서 괴로워함. 또는 그런 괴로움.
「2」마음이나 몸을 괴롭히는 노여움이나 욕망 따위의 망념(妄念).
"
법도,"[""法 법 법"", ""度 법도 도""]","「1」생활상의 예법과 제도(制度)를 아울러 이르는 말.
「2」법률과 제도를 아울러 이르는 말.
"
법정,"[""法 법 법"", ""廷 조정 정""]","법원이 소송 절차에 따라 송사를 심리하고 판결하는 곳.
"
벽간,"[""壁 벽 벽"", ""間 사이 간""]","벽의 기둥과 기둥 사이.
"
벽보,"[""壁 벽 벽"", ""報 알릴 보""]","벽이나 게시판에 붙여 널리 알리는 글.
"
벽-창호,"[""壁 벽 벽"", ""窓 창 창"", ""戶 지게 호""]","벽에 창문 모양을 내고 벽을 쳐서 막은 부분.
"
병약-하다,"[""病 병 병"", ""弱 약할 약""]","병으로 인하여 몸이 쇠약하다.
"
